,Source,Target,Weight
0,alg-geom,hep-th,192
1,alg-geom,q-alg,11
2,alg-geom,math,6
3,alg-geom,dg-ga,16
4,comp-gas,hep-lat,1
5,comp-gas,quant-ph,14
6,comp-gas,chao-dyn,1
7,comp-gas,cond-mat,5
8,comp-gas,adap-org,2
9,comp-gas,patt-sol,2
10,chem-ph,cond-mat,3
11,gr-qc,hep-th,19022
12,gr-qc,astro-ph,10129
13,gr-qc,hep-ph,2689
14,gr-qc,physics,405
15,gr-qc,math-ph,402
16,gr-qc,cond-mat,315
17,gr-qc,hep-lat,132
18,gr-qc,quant-ph,808
19,gr-qc,cs,3
20,gr-qc,math,350
21,gr-qc,chao-dyn,10
22,gr-qc,q-alg,75
23,gr-qc,dg-ga,49
24,gr-qc,nucl-th,18
25,gr-qc,hep-ex,69
26,gr-qc,nucl-ex,2
27,gr-qc,alg-geom,6
28,gr-qc,solv-int,9
29,gr-qc,funct-an,5
30,gr-qc,nlin,11
31,gr-qc,patt-sol,1
32,gr-qc,adap-org,1
33,q-bio,cond-mat,216
34,q-bio,physics,67
35,q-bio,math,43
36,q-bio,adap-org,3
37,q-bio,quant-ph,16
38,q-bio,nlin,9
39,q-bio,hep-th,4
40,q-bio,gr-qc,1
41,q-bio,cs,9
42,q-bio,math-ph,2
43,q-bio,astro-ph,1
44,q-bio,alg-geom,1
45,q-bio,hep-lat,1
46,math-ph,hep-th,3183
47,math-ph,gr-qc,414
48,math-ph,nlin,263
49,math-ph,cond-mat,865
50,math-ph,math,1962
51,math-ph,hep-ph,167
52,math-ph,hep-lat,29
53,math-ph,quant-ph,526
54,math-ph,dg-ga,40
55,math-ph,atom-ph,2
56,math-ph,nucl-th,19
57,math-ph,q-alg,209
58,math-ph,physics,232
59,math-ph,solv-int,102
60,math-ph,chao-dyn,22
61,math-ph,astro-ph,37
62,math-ph,nucl-ex,2
63,math-ph,alg-geom,20
64,math-ph,cs,11
65,math-ph,funct-an,21
66,math-ph,q-bio,2
67,math-ph,patt-sol,4
68,math-ph,hep-ex,1
69,math-ph,adap-org,3
70,hep-ph,nucl-ex,4771
71,hep-ph,hep-th,27368
72,hep-ph,math-ph,398
73,hep-ph,hep-ex,33704
74,hep-ph,hep-lat,11567
75,hep-ph,nucl-th,8671
76,hep-ph,astro-ph,19475
77,hep-ph,cond-mat,844
78,hep-ph,physics,673
79,hep-ph,gr-qc,1834
80,hep-ph,quant-ph,206
81,hep-ph,math,70
82,hep-ph,cs,18
83,hep-ph,q-alg,25
84,hep-ph,alg-geom,1
85,hep-ph,chao-dyn,17
86,hep-ph,solv-int,5
87,hep-ph,nlin,5
88,hep-ph,acc-phys,2
89,hep-ph,patt-sol,4
90,hep-ph,adap-org,1
91,hep-ph,funct-an,1
92,hep-ph,atom-ph,2
93,hep-ph,plasm-ph,1
94,hep-ph,supr-con,1
95,adap-org,cond-mat,51
96,adap-org,chao-dyn,9
97,adap-org,math,1
98,adap-org,hep-th,8
99,adap-org,patt-sol,2
100,physics,cond-mat,1502
101,physics,hep-th,824
102,physics,chao-dyn,53
103,physics,nlin,161
104,physics,quant-ph,921
105,physics,hep-ex,382
106,physics,astro-ph,481
107,physics,gr-qc,715
108,physics,cs,105
109,physics,hep-ph,741
110,physics,nucl-th,82
111,physics,math-ph,126
112,physics,math,136
113,physics,nucl-ex,49
114,physics,hep-lat,60
115,physics,adap-org,25
116,physics,acc-phys,4
117,physics,q-bio,29
118,physics,chem-ph,41
119,physics,q-alg,21
120,physics,dg-ga,9
121,physics,solv-int,5
122,physics,supr-con,1
123,physics,funct-an,5
124,physics,comp-gas,1
125,physics,bayes-an,1
126,physics,patt-sol,2
127,physics,plasm-ph,6
128,physics,atom-ph,1
129,physics,alg-geom,6
130,math,q-alg,1565
131,math,quant-ph,284
132,math,gr-qc,236
133,math,hep-th,4456
134,math,math-ph,948
135,math,nlin,154
136,math,alg-geom,1413
137,math,physics,98
138,math,dg-ga,363
139,math,cs,82
140,math,funct-an,168
141,math,cond-mat,350
142,math,solv-int,140
143,math,astro-ph,87
144,math,patt-sol,30
145,math,chao-dyn,32
146,math,q-bio,26
147,math,hep-ph,26
148,math,hep-ex,4
149,math,hep-lat,3
150,math,nucl-th,4
151,math,adap-org,5
152,astro-ph,hep-ph,11266
153,astro-ph,nucl-th,416
154,astro-ph,gr-qc,5738
155,astro-ph,hep-th,7047
156,astro-ph,quant-ph,57
157,astro-ph,physics,340
158,astro-ph,math,56
159,astro-ph,hep-ex,686
160,astro-ph,nucl-ex,153
161,astro-ph,hep-lat,50
162,astro-ph,comp-gas,2
163,astro-ph,cond-mat,182
164,astro-ph,nlin,42
165,astro-ph,dg-ga,2
166,astro-ph,math-ph,46
167,astro-ph,chao-dyn,17
168,astro-ph,patt-sol,1
169,astro-ph,cs,1
170,dg-ga,hep-th,58
171,dg-ga,gr-qc,9
172,dg-ga,alg-geom,45
173,dg-ga,math,21
174,dg-ga,q-alg,5
175,dg-ga,quant-ph,1
176,dg-ga,physics,1
177,dg-ga,solv-int,1
178,dg-ga,funct-an,1
179,cond-mat,hep-th,2249
180,cond-mat,physics,690
181,cond-mat,quant-ph,1655
182,cond-mat,hep-ph,537
183,cond-mat,nlin,369
184,cond-mat,math-ph,589
185,cond-mat,math,611
186,cond-mat,adap-org,170
187,cond-mat,cs,166
188,cond-mat,chao-dyn,205
189,cond-mat,nucl-th,272
190,cond-mat,hep-lat,608
191,cond-mat,astro-ph,176
192,cond-mat,hep-ex,7
193,cond-mat,gr-qc,152
194,cond-mat,ao-sci,1
195,cond-mat,q-alg,56
196,cond-mat,solv-int,48
197,cond-mat,patt-sol,28
198,cond-mat,q-bio,72
199,cond-mat,nucl-ex,7
200,cond-mat,supr-con,14
201,cond-mat,funct-an,7
202,cond-mat,dg-ga,1
203,cond-mat,mtrl-th,7
204,cond-mat,atom-ph,3
205,cond-mat,chem-ph,5
206,cond-mat,comp-gas,8
207,supr-con,cond-mat,4
208,supr-con,hep-th,1
209,cs,cond-mat,201
210,cs,quant-ph,302
211,cs,math,157
212,cs,nlin,7
213,cs,hep-th,44
214,cs,gr-qc,11
215,cs,hep-lat,14
216,cs,math-ph,16
217,cs,hep-ph,59
218,cs,astro-ph,9
219,cs,physics,22
220,cs,hep-ex,2
221,cs,alg-geom,2
222,cs,nucl-th,1
223,cs,adap-org,6
224,cs,cmp-lg,17
225,cs,funct-an,4
226,cs,chao-dyn,1
227,cs,q-bio,4
228,q-alg,hep-th,845
229,q-alg,alg-geom,36
230,q-alg,math,13
231,q-alg,solv-int,31
232,q-alg,cond-mat,11
233,q-alg,dg-ga,7
234,q-alg,funct-an,10
235,q-alg,hep-lat,1
236,q-alg,gr-qc,14
237,funct-an,q-alg,14
238,funct-an,hep-th,31
239,funct-an,gr-qc,3
240,funct-an,quant-ph,1
241,funct-an,hep-ph,1
242,funct-an,solv-int,1
243,funct-an,cond-mat,1
244,funct-an,physics,1
245,funct-an,dg-ga,2
246,solv-int,hep-th,493
247,solv-int,cond-mat,56
248,solv-int,quant-ph,5
249,solv-int,alg-geom,5
250,solv-int,q-alg,39
251,solv-int,funct-an,3
252,solv-int,dg-ga,14
253,solv-int,math-ph,12
254,solv-int,nlin,3
255,solv-int,math,21
256,solv-int,gr-qc,4
257,solv-int,hep-ph,2
258,solv-int,patt-sol,5
259,solv-int,physics,1
260,solv-int,chao-dyn,1
261,nucl-th,nucl-ex,3098
262,nucl-th,hep-ph,9260
263,nucl-th,hep-th,396
264,nucl-th,hep-ex,759
265,nucl-th,astro-ph,688
266,nucl-th,quant-ph,77
267,nucl-th,cond-mat,390
268,nucl-th,hep-lat,1133
269,nucl-th,physics,86
270,nucl-th,math,5
271,nucl-th,gr-qc,18
272,nucl-th,chao-dyn,9
273,nucl-th,math-ph,15
274,nucl-th,nlin,6
275,nucl-th,q-alg,3
276,nucl-th,atom-ph,1
277,nucl-th,funct-an,1
278,nucl-th,chem-ph,1
279,nlin,cond-mat,507
280,nlin,solv-int,270
281,nlin,hep-th,622
282,nlin,chao-dyn,206
283,nlin,hep-ph,39
284,nlin,math,332
285,nlin,math-ph,195
286,nlin,patt-sol,37
287,nlin,cs,10
288,nlin,physics,101
289,nlin,gr-qc,8
290,nlin,adap-org,37
291,nlin,comp-gas,14
292,nlin,quant-ph,121
293,nlin,q-alg,29
294,nlin,funct-an,1
295,nlin,q-bio,11
296,nlin,dg-ga,7
297,nlin,astro-ph,15
298,nlin,alg-geom,7
299,nlin,nucl-th,13
300,nlin,hep-lat,5
301,nlin,hep-ex,2
302,atom-ph,cond-mat,3
303,atom-ph,quant-ph,2
304,atom-ph,hep-th,1
305,quant-ph,astro-ph,70
306,quant-ph,cond-mat,1820
307,quant-ph,physics,346
308,quant-ph,hep-th,1576
309,quant-ph,math-ph,619
310,quant-ph,gr-qc,988
311,quant-ph,cs,172
312,quant-ph,math,347
313,quant-ph,q-alg,46
314,quant-ph,nucl-th,88
315,quant-ph,hep-ph,275
316,quant-ph,dg-ga,16
317,quant-ph,alg-geom,1
318,quant-ph,chao-dyn,38
319,quant-ph,hep-ex,14
320,quant-ph,nlin,80
321,quant-ph,patt-sol,2
322,quant-ph,hep-lat,8
323,quant-ph,funct-an,12
324,quant-ph,solv-int,8
325,quant-ph,atom-ph,6
326,quant-ph,adap-org,4
327,quant-ph,nucl-ex,7
328,quant-ph,comp-gas,1
329,quant-ph,chem-ph,1
330,quant-ph,q-bio,1
331,quant-ph,mtrl-th,2
332,nucl-ex,hep-ph,1746
333,nucl-ex,nucl-th,1791
334,nucl-ex,astro-ph,65
335,nucl-ex,hep-ex,458
336,nucl-ex,physics,31
337,nucl-ex,hep-lat,121
338,nucl-ex,cs,1
339,nucl-ex,hep-th,18
340,nucl-ex,cond-mat,7
341,nucl-ex,quant-ph,3
342,hep-th,gr-qc,18245
343,hep-th,quant-ph,1587
344,hep-th,math-ph,1624
345,hep-th,q-alg,1339
346,hep-th,astro-ph,9904
347,hep-th,hep-ph,25668
348,hep-th,hep-lat,3707
349,hep-th,nucl-th,386
350,hep-th,hep-ex,196
351,hep-th,cond-mat,3109
352,hep-th,math,4664
353,hep-th,alg-geom,1477
354,hep-th,solv-int,286
355,hep-th,chao-dyn,56
356,hep-th,nlin,201
357,hep-th,physics,451
358,hep-th,dg-ga,191
359,hep-th,nucl-ex,126
360,hep-th,funct-an,53
361,hep-th,patt-sol,13
362,hep-th,cs,4
363,hep-th,supr-con,2
364,hep-th,chem-ph,3
365,hep-th,q-bio,2
366,hep-th,adap-org,1
367,chao-dyn,quant-ph,15
368,chao-dyn,nlin,4
369,chao-dyn,hep-th,33
370,chao-dyn,adap-org,10
371,chao-dyn,patt-sol,8
372,chao-dyn,cond-mat,128
373,chao-dyn,hep-ph,2
374,chao-dyn,gr-qc,2
375,chao-dyn,math-ph,2
